State,Level,Name,TOT_P,TOT_M,TOT_F
00,India,India,1210854977,623270258,587584719
01,STATE,Jammu and Kashmir,12541302,6640662,5900640
01,DISTRICT,kupwara,870354,474190,396164
01,DISTRICT,budgam,753745,398041,355704
01,DISTRICT,leh,133487,78971,54516
01,DISTRICT,kargil,140802,77785,63017
01,DISTRICT,punch,476835,251899,224936
01,DISTRICT,rajouri,642415,345351,297064
01,DISTRICT,kathua,616435,326109,290326
01,DISTRICT,baramulla,1008039,534733,473306
01,DISTRICT,bandipora,392232,207680,184552
01,DISTRICT,srinagar,1236829,651124,585705
01,DISTRICT,ganderbal,297446,158720,138726
01,DISTRICT,pulwama,560440,293064,267376
01,DISTRICT,shopiyan,266215,136480,129735
01,DISTRICT,anantnag,1078692,559767,518925
01,DISTRICT,kulgam,424483,217620,206863
01,DISTRICT,doda,409936,213641,196295
01,DISTRICT,ramban,283713,149132,134581
01,DISTRICT,kishtwar,230696,120165,110531
01,DISTRICT,udhampur,554985,296784,258201
01,DISTRICT,reasi,314667,166461,148206
01,DISTRICT,jammu,1529958,813821,716137
01,DISTRICT,samba,318898,169124,149774
02,STATE,Himachal Pradesh,6864602,3481873,3382729
02,DISTRICT,chamba,519080,261320,257760
02,DISTRICT,kangra,1510075,750591,759484
02,DISTRICT,lahaul and spiti,31564,16588,14976
02,DISTRICT,kullu,437903,225452,212451
02,DISTRICT,mandi,999777,498065,501712
02,DISTRICT,hamirpur,454768,217070,237698
02,DISTRICT,una,521173,263692,257481
02,DISTRICT,bilaspur,381956,192764,189192
02,DISTRICT,solan,580320,308754,271566
02,DISTRICT,sirmaur,529855,276289,253566
02,DISTRICT,shimla,814010,425039,388971
02,DISTRICT,kinnaur,84121,46249,37872
03,STATE,Punjab,27743338,14639465,13103873
03,DISTRICT,gurdaspur,2298323,1212617,1085706
03,DISTRICT,kapurthala,815168,426311,388857
03,DISTRICT,jalandhar,2193590,1145211,1048379
03,DISTRICT,hoshiarpur,1586625,809057,777568
03,DISTRICT,shahid bhagat singh nagar,612310,313291,299019
03,DISTRICT,fatehgarh sahib,600163,320795,279368
03,DISTRICT,ludhiana,3498739,1867816,1630923
03,DISTRICT,moga,995746,525920,469826
03,DISTRICT,ferozepur,2029074,1071637,957437
03,DISTRICT,sri muktsar sahib,901896,475622,426274
03,DISTRICT,faridkot,617508,326671,290837
03,DISTRICT,bathinda,1388525,743197,645328
03,DISTRICT,mansa,769751,408732,361019
03,DISTRICT,patiala,1895686,1002522,893164
03,DISTRICT,amritsar,2490656,1318408,1172248
03,DISTRICT,tarn taran,1119627,589369,530258
03,DISTRICT,rupnagar,684627,357485,327142
03,DISTRICT,s.a.s. nagar,994628,529253,465375
03,DISTRICT,sangrur,1655169,878029,777140
03,DISTRICT,barnala,595527,317522,278005
04,STATE,Chandigarh,1055450,580663,474787
04,DISTRICT,chandigarh,1055450,580663,474787
05,STATE,Uttarakhand,10086292,5137773,4948519
05,DISTRICT,uttarkashi,330086,168597,161489
05,DISTRICT,chamoli,391605,193991,197614
05,DISTRICT,rudraprayag,242285,114589,127696
05,DISTRICT,tehri garhwal,618931,297986,320945
05,DISTRICT,dehradun,1696694,892199,804495
05,DISTRICT,pauri garhwal,687271,326829,360442
05,DISTRICT,pithoragarh,483439,239306,244133
05,DISTRICT,bageshwar,259898,124326,135572
05,DISTRICT,almora,622506,291081,331425
05,DISTRICT,champawat,259648,131125,128523
05,DISTRICT,nainital,954605,493666,460939
05,DISTRICT,udham singh nagar,1648902,858783,790119
05,DISTRICT,haridwar,1890422,1005295,885127
06,STATE,Haryana,25351462,13494734,11856728
06,DISTRICT,panchkula,561293,299679,261614
06,DISTRICT,ambala,1128350,598703,529647
06,DISTRICT,yamunanagar,1214205,646718,567487
06,DISTRICT,kurukshetra,964655,510976,453679
06,DISTRICT,kaithal,1074304,571003,503301
06,DISTRICT,karnal,1505324,797712,707612
06,DISTRICT,panipat,1205437,646857,558580
06,DISTRICT,sonipat,1450001,781299,668702
06,DISTRICT,jind,1334152,713006,621146
06,DISTRICT,fatehabad,942011,495360,446651
06,DISTRICT,sirsa,1295189,682582,612607
06,DISTRICT,hisar,1743931,931562,812369
06,DISTRICT,bhiwani,1634445,866672,767773
06,DISTRICT,rohtak,1061204,568479,492725
06,DISTRICT,jhajjar,958405,514667,443738
06,DISTRICT,mahendragarh,922088,486665,435423
06,DISTRICT,rewari,900332,474335,425997
06,DISTRICT,gurugram,1514432,816690,697742
06,DISTRICT,nuh,1089263,571162,518101
06,DISTRICT,faridabad,1809733,966110,843623
06,DISTRICT,palwal,1042708,554497,488211
07,STATE,Delhi,16787941,8987326,7800615
08,STATE,Rajasthan,68548437,35550997,32997440
08,DISTRICT,ganganagar,1969168,1043340,925828
08,DISTRICT,hanumangarh,1774692,931184,843508
08,DISTRICT,bikaner,2363937,1240801,1123136
08,DISTRICT,churu,2039547,1051446,988101
08,DISTRICT,jhunjhunu,2137045,1095896,1041149
08,DISTRICT,alwar,3674179,1939026,1735153
08,DISTRICT,bharatpur,2548462,1355726,1192736
08,DISTRICT,dholpur,1206516,653647,552869
08,DISTRICT,karauli,1458248,783639,674609
08,DISTRICT,sawai madhopur,1335551,704031,631520
08,DISTRICT,dausa,1634409,857787,776622
08,DISTRICT,jaipur,6626178,3468507,3157671
08,DISTRICT,sikar,2677333,1374990,1302343
08,DISTRICT,nagaur,3307743,1696325,1611418
08,DISTRICT,jodhpur,3687165,1923928,1763237
08,DISTRICT,jaisalmer,669919,361708,308211
08,DISTRICT,barmer,2603751,1369022,1234729
08,DISTRICT,jalore,1828730,936634,892096
08,DISTRICT,sirohi,1036346,534231,502115
08,DISTRICT,pali,2037573,1025422,1012151
08,DISTRICT,ajmer,2583052,1324085,1258967
08,DISTRICT,tonk,1421326,728136,693190
08,DISTRICT,bundi,1110906,577160,533746
08,DISTRICT,bhilwara,2408523,1220736,1187787
08,DISTRICT,rajsamand,1156597,581339,575258
08,DISTRICT,dungarpur,1388552,696532,692020
08,DISTRICT,banswara,1797485,907754,889731
08,DISTRICT,chittorgarh,1544338,783171,761167
08,DISTRICT,kota,1951014,1021161,929853
08,DISTRICT,baran,1222755,633945,588810
08,DISTRICT,jhalawar,1411129,725143,685986
08,DISTRICT,udaipur,3068420,1566801,1501619
08,DISTRICT,pratapgarh,867848,437744,430104
09,STATE,Uttar Pradesh,199812341,104480510,95331831
09,DISTRICT,saharanpur,3466382,1834106,1632276
09,DISTRICT,muzaffarnagar,4143512,2193434,1950078
09,DISTRICT,bijnor,3682713,1921215,1761498
09,DISTRICT,moradabad,4772006,2503186,2268820
09,DISTRICT,rampur,2335819,1223889,1111930
09,DISTRICT,amroha,1840221,963449,876772
