districtid,overallid,cases
AP_Anantapur,overall,156771
AP_Chittoor,overall,234871
AP_East Godavari,overall,282389
AP_Guntur,overall,170493
AP_Krishna,overall,111599
AP_Kurnool,overall,123572
AP_Prakasam,overall,131787
AP_S.P.S. Nellore,overall,137357
AP_Srikakulam,overall,121390
AP_Visakhapatnam,overall,153698
AP_Vizianagaram,overall,81776
AP_West Godavari,overall,171987
AP_Y.S.R. Kadapa,overall,111606
AR_Anjaw,overall,994
AR_Changlang,overall,3655
AR_East Kameng,overall,1071
AR_East Siang,overall,2963
AR_Kamle,overall,478
AR_Kra Daadi,overall,260
AR_Kurung Kumey,overall,507
AR_Lepa Rada,overall,792
AR_Lohit,overall,2688
AR_Longding,overall,731
AR_Lower Dibang Valley,overall,2168
AR_Lower Siang,overall,709
AR_Lower Subansiri,overall,2647
AR_Namsai,overall,1969
AR_Pakke Kessang,overall,396
AR_Papum Pare,overall,17303
AR_Shi Yomi,overall,224
AR_Siang,overall,393
AR_Tawang,overall,2299
AR_Tirap,overall,1008
AR_Upper Dibang Valley,overall,290
AR_Upper Siang,overall,896
AR_Upper Subansiri,overall,1914
AR_West Kameng,overall,3207
AR_West Siang,overall,1738
AS_Dibrugarh,overall,0
AS_Udalguri,overall,0
BR_Araria,overall,14963
BR_Arwal,overall,7379
BR_Aurangabad,overall,20010
BR_Banka,overall,7379
BR_Begusarai,overall,27183
BR_Bhagalpur,overall,25827
BR_Bhojpur,overall,10174
BR_Buxar,overall,9248
BR_Darbhanga,overall,10908
BR_East Champaran,overall,19000
BR_Gaya,overall,33940
BR_Gopalganj,overall,16671
BR_Jamui,overall,9413
BR_Jehanabad,overall,10774
BR_Kaimur,overall,4983
BR_Katihar,overall,18129
BR_Khagaria,overall,10057
BR_Kishanganj,overall,10107
BR_Lakhisarai,overall,7771
BR_Madhepura,overall,12523
BR_Madhubani,overall,18339
BR_Munger,overall,15102
BR_Muzaffarpur,overall,31382
BR_Nalanda,overall,23424
BR_Nawada,overall,10345
BR_Patna,overall,146846
BR_Purnia,overall,24413
BR_Rohtas,overall,13962
BR_Saharsa,overall,17592
BR_Samastipur,overall,19988
BR_Saran,overall,23267
BR_Sheikhpura,overall,7690
BR_Sheohar,overall,4397
BR_Sitamarhi,overall,9174
BR_Siwan,overall,15195
BR_Supaul,overall,17205
BR_Vaishali,overall,19809
BR_West Champaran,overall,20886
CH_Chandigarh,overall,62028
CT_Balod,overall,27258
CT_Baloda Bazar,overall,43007
CT_Balrampur,overall,20280
CT_Bametara,overall,19945
CT_Bastar,overall,20953
CT_Bijapur,overall,8269
CT_Bilaspur,overall,65471
CT_Dakshin Bastar Dantewada,overall,10754
CT_Dhamtari,overall,27197
CT_Durg,overall,96652
CT_Gariaband,overall,19673
CT_Gaurela Pendra Marwahi,overall,12006
CT_Janjgir Champa,overall,57461
CT_Jashpur,overall,26950
CT_Kabeerdham,overall,22770
CT_Kondagaon,overall,13072
CT_Korba,overall,54592
CT_Koriya,overall,26923
CT_Mahasamund,overall,31324
CT_Mungeli,overall,23893
CT_Narayanpur,overall,4006
CT_Raigarh,overall,62486
CT_Raipur,overall,157803
CT_Rajnandgaon,overall,56012
CT_Sukma,overall,7975
CT_Surajpur,overall,29016
CT_Surguja,overall,33641
CT_Uttar Bastar Kanker,overall,23542
DL_Delhi,overall,1437038
DN_Dadra and Nagar Haveli,overall,5905
DN_Daman,overall,3535
DN_Diu,overall,1218
GJ_Ahmedabad,overall,238044
GJ_Amreli,overall,10806
GJ_Anand,overall,9624
GJ_Aravalli,overall,5184
GJ_Banaskantha,overall,13631
GJ_Bharuch,overall,11425
GJ_Bhavnagar,overall,21413
GJ_Botad,overall,2218
GJ_Chhota Udaipur,overall,3395
GJ_Dahod,overall,9944
GJ_Dang,overall,864
GJ_Devbhumi Dwarka,overall,4173
GJ_Gandhinagar,overall,20741
GJ_Gir Somnath,overall,8557
GJ_Jamnagar,overall,34951
GJ_Junagadh,overall,20470
GJ_Kheda,overall,10422
GJ_Kutch,overall,12587
GJ_Mahisagar,overall,8192
GJ_Mehsana,overall,24414
GJ_Morbi,overall,6502
GJ_Narmada,overall,5952
GJ_Navsari,overall,7156
GJ_Panchmahal,overall,11770
GJ_Patan,overall,11624
GJ_Porbandar,overall,3477
GJ_Rajkot,overall,57925
GJ_Sabarkantha,overall,9314
GJ_Surat,overall,143502
GJ_Surendranagar,overall,8121
GJ_Tapi,overall,4438
GJ_Vadodara,overall,77924
GJ_Valsad,overall,6244
HP_Chamba,overall,12993
HP_Hamirpur,overall,14883
HP_Kangra,overall,46992
