districtid,overallid,dose1,dose2
AN_Nicobars,overall,22081,8110
AN_North and Middle Andaman,overall,68043,29281
AN_South Andaman,overall,142585,59896
AP_Anantapur,overall,1364374,597346
AP_Chittoor,overall,1565591,640864
AP_East Godavari,overall,1927490,552473
AP_Guntur,overall,1758535,592441
AP_Krishna,overall,1756261,557589
AP_Kurnool,overall,1242692,492628
AP_Prakasam,overall,1231912,515791
AP_S.P.S. Nellore,overall,1158076,528689
AP_Srikakulam,overall,1028569,336972
AP_Visakhapatnam,overall,1875574,623159
AP_Vizianagaram,overall,921086,220017
AP_West Godavari,overall,1642547,431963
AP_Y.S.R. Kadapa,overall,1043434,395280
AR_Anjaw,overall,10922,2549
AR_Changlang,overall,75590,16906
AR_East Kameng,overall,20421,6183
AR_East Siang,overall,51321,16080
AR_Kamle,overall,6199,1537
AR_Kra Daadi,overall,5837,1741
AR_Kurung Kumey,overall,8574,2847
AR_Lepa Rada,overall,12956,4959
AR_Lohit,overall,27886,6710
AR_Longding,overall,17969,3265
AR_Lower Dibang Valley,overall,29726,8102
AR_Lower Siang,overall,15692,4567
AR_Lower Subansiri,overall,24812,8151
AR_Namsai,overall,57846,12607
AR_Pakke Kessang,overall,7668,2984
AR_Papum Pare,overall,123257,38321
AR_Shi Yomi,overall,6719,2298
AR_Siang,overall,13877,4273
AR_Tawang,overall,27675,9166
AR_Tirap,overall,29015,5633
AR_Upper Dibang Valley,overall,3915,1234
AR_Upper Siang,overall,17475,6358
AR_Upper Subansiri,overall,23099,7267
AR_West Kameng,overall,49879,13683
AR_West Siang,overall,32647,12316
AS_Baksa,overall,263822,43318
AS_Barpeta,overall,503553,133271
AS_Biswanath,overall,342059,50926
AS_Bongaigaon,overall,269597,57107
AS_Cachar,overall,489044,101114
AS_Charaideo,overall,199865,31684
AS_Chirang,overall,151312,32751
AS_Darrang,overall,280728,57463
AS_Dhemaji,overall,279226,56455
AS_Dhubri,overall,328637,73776
AS_Dibrugarh,overall,556467,138516
AS_Dima Hasao,overall,81926,21625
AS_Goalpara,overall,293385,53550
AS_Golaghat,overall,489257,88744
AS_Hailakandi,overall,235569,43931
AS_Hojai,overall,306933,68878
AS_Jorhat,overall,503031,100117
AS_Kamrup,overall,607960,144232
AS_Kamrup Metropolitan,overall,1021908,312364
AS_Karbi Anglong,overall,149963,37250
AS_Karimganj,overall,283443,60499
AS_Kokrajhar,overall,261219,51130
AS_Lakhimpur,overall,437664,71887
AS_Majuli,overall,102129,28372
AS_Morigaon,overall,353676,51176
AS_Nagaon,overall,607354,132272
AS_Nalbari,overall,266558,51355
AS_Sivasagar,overall,348789,65529
AS_Sonitpur,overall,569789,135581
AS_South Salmara Mankachar,overall,147101,8487
AS_Tinsukia,overall,402046,81923
AS_Udalguri,overall,221841,44498
AS_West Karbi Anglong,overall,74202,13119
BR_Araria,overall,567117,103824
BR_Arwal,overall,213962,28476
BR_Aurangabad,overall,541455,71363
BR_Banka,overall,487527,77742
BR_Begusarai,overall,713926,112529
BR_Bhagalpur,overall,894035,170988
BR_Bhojpur,overall,596080,99551
BR_Buxar,overall,412175,75792
BR_Darbhanga,overall,977344,185612
BR_East Champaran,overall,1182584,207812
BR_Gaya,overall,956039,202428
BR_Gopalganj,overall,535391,84542
BR_Jamui,overall,385107,59472
BR_Jehanabad,overall,282961,53212
BR_Kaimur,overall,343454,45740
BR_Katihar,overall,626223,89975
BR_Khagaria,overall,366765,56768
BR_Kishanganj,overall,336450,50253
BR_Lakhisarai,overall,221035,33930
BR_Madhepura,overall,413567,70339
BR_Madhubani,overall,948197,186667
BR_Munger,overall,382065,64451
BR_Muzaffarpur,overall,1067700,193496
BR_Nalanda,overall,769782,169833
BR_Nawada,overall,487326,84583
BR_Patna,overall,2510147,855821
BR_Purnia,overall,829600,163272
BR_Rohtas,overall,673227,110046
BR_Saharsa,overall,425804,77479
BR_Samastipur,overall,963863,176117
BR_Saran,overall,1034080,212980
BR_Sheikhpura,overall,166526,29858
BR_Sheohar,overall,169238,38021
BR_Sitamarhi,overall,722754,121124
BR_Siwan,overall,908868,181050
BR_Supaul,overall,457336,78453
BR_Vaishali,overall,785921,137158
BR_West Champaran,overall,811747,98510
CH_Chandigarh,overall,733579,244351
CT_Balod,overall,340468,104541
CT_Baloda Bazar,overall,346166,84677
CT_Balrampur,overall,194776,39958
CT_Bametara,overall,178460,44883
CT_Bastar,overall,269727,70849
CT_Bijapur,overall,79453,28074
CT_Bilaspur,overall,576150,192418
CT_Dakshin Bastar Dantewada,overall,111700,35220
CT_Dhamtari,overall,310503,91399
CT_Durg,overall,612155,258651
CT_Gariaband,overall,167276,39250
CT_Gaurela Pendra Marwahi,overall,110668,22823
CT_Janjgir Champa,overall,449745,131719
CT_Jashpur,overall,261734,65103
CT_Kabeerdham,overall,256111,63224
CT_Kondagaon,overall,170183,32747
CT_Korba,overall,418071,123357
CT_Koriya,overall,182023,47728
CT_Mahasamund,overall,462204,144523
CT_Mungeli,overall,194402,50053
CT_Narayanpur,overall,34817,11993
CT_Raigarh,overall,900766,270605
CT_Raipur,overall,1156518,394988
CT_Rajnandgaon,overall,684394,170975
CT_Sukma,overall,106266,33333
CT_Surajpur,overall,229363,49171
CT_Surguja,overall,334150,101524
CT_Uttar Bastar Kanker,overall,245262,72095
DL_Delhi,overall,8251002,3265001
DN_Dadra and Nagar Haveli,overall,349660,41505
DN_Daman,overall,210798,35274
DN_Diu,overall,37922,13642
GA_North Goa,overall,528276,158303
GA_South Goa,overall,584539,171606
GJ_Ahmedabad,overall,4164746,1212764
GJ_Amreli,overall,613704,221915
GJ_Anand,overall,941889,300552
GJ_Aravalli,overall,486722,181254
GJ_Banaskantha,overall,1351811,489198
GJ_Bharuch,overall,828098,223145
GJ_Bhavnagar,overall,1001217,330617
GJ_Botad,overall,299375,61961
GJ_Chhota Udaipur,overall,431915,153733
GJ_Dahod,overall,733809,355177
GJ_Dang,overall,69744,17846
GJ_Devbhumi Dwarka,overall,407654,136967
GJ_Gandhinagar,overall,923852,257561
GJ_Gir Somnath,overall,539065,145611
GJ_Jamnagar,overall,802014,258934
GJ_Junagadh,overall,768802,262033
GJ_Kheda,overall,889255,267484
GJ_Kutch,overall,939684,265734
GJ_Mahisagar,overall,441590,221624
GJ_Mehsana,overall,970192,356885
GJ_Morbi,overall,432833,103388
GJ_Narmada,overall,293108,118086
GJ_Navsari,overall,635674,229345
GJ_Panchmahal,overall,679468,223003
GJ_Patan,overall,570006,182788
GJ_Porbandar,overall,320244,129120
GJ_Rajkot,overall,1748951,541801
