stateid,weekid,dose1,dose2
AN,1,0,0
AN,31,163,113
AN,30,465,85
AN,29,1048,286
AN,28,1636,653
AN,27,2646,1131
AN,26,433,2375
AN,25,2059,1509
AN,24,3719,51
AN,22,70,0
AN,21,10,1
AN,20,161,0
AN,19,119,0
AN,18,39,261
AN,17,161,751
AN,23,1193,1
AN,15,1292,123
AN,16,356,227
AN,3,78,0
AN,4,59,0
AN,5,17,0
AN,6,36,40
AN,7,171,204
AN,8,81,6
AN,2,206,0
AN,10,395,7
AN,11,626,85
AN,12,457,14
AN,13,1682,85
AN,14,2604,48
AN,9,99,54
AP,17,28427,54745
AP,18,4609,11140
AP,19,5383,5770
AP,20,117444,7162
AP,21,60972,8832
AP,22,50427,8729
AP,24,122622,21682
AP,27,85573,93324
AP,26,19108,979
AP,28,29879,59407
AP,29,84350,66175
AP,30,107455,64406
AP,31,104964,59515
AP,25,105115,28536
AP,16,49088,38962
AP,23,25728,736
AP,14,36573,2764
AP,2,3802,0
AP,3,3115,0
AP,4,5029,0
AP,5,3090,730
AP,6,7823,6535
AP,7,12487,2936
AP,1,287,0
AP,15,63040,33895
AP,9,11607,1665
AP,10,36732,2275
AP,11,76134,8658
AP,12,41180,2254
AP,13,56584,3931
AP,8,5747,1603
AR,18,334,209
AR,19,355,4
AR,20,85,7
AR,21,349,0
AR,22,1374,6
AR,23,661,69
AR,31,96,262
AR,25,1722,40
AR,26,813,105
AR,28,450,258
AR,29,154,226
AR,30,266,124
AR,17,185,123
AR,24,1108,85
AR,27,417,122
AR,16,473,147
AR,14,219,61
AR,15,209,110
AR,1,0,0
AR,2,147,0
AR,3,107,0
AR,5,112,0
AR,6,206,117
AR,4,21,0
AR,8,56,18
AR,9,30,38
AR,10,107,135
AR,11,288,77
AR,12,273,50
AR,13,206,41
AR,7,99,115
AS,22,5219,1614
AS,18,5344,1151
AS,19,4233,153
AS,20,5301,547
AS,21,2836,105
AS,23,6279,2724
AS,17,8027,2447
AS,25,16231,2859
AS,26,4414,675
AS,27,7176,4371
AS,28,11017,1423
AS,29,21084,4193
AS,30,53832,5530
AS,24,29298,3075
AS,16,5128,1924
AS,31,44684,3602
AS,14,1566,575
AS,1,11,0
AS,2,94,0
AS,3,537,0
AS,4,849,0
AS,5,563,48
AS,6,722,111
AS,15,6173,1897
AS,8,1756,455
AS,9,1764,421
AS,10,1727,438
AS,11,9222,638
AS,12,3160,1035
AS,13,4814,1126
AS,7,761,181
BR,19,21486,2077
BR,20,16955,521
BR,21,13332,2420
BR,22,13498,1715
BR,23,11477,1155
BR,24,59999,5123
BR,28,26697,7372
BR,26,29323,10586
BR,27,38095,13525
BR,29,44778,10294
BR,30,69544,10107
BR,31,52735,11534
BR,18,17767,1754
BR,25,19724,4394
BR,17,17024,4504
BR,16,7159,2417
BR,15,10315,3540
BR,2,636,0
BR,3,1421,0
BR,4,4408,0
BR,5,2643,0
BR,6,1757,552
BR,7,732,100
BR,1,0,0
BR,9,13417,2284
BR,10,7991,1574
BR,11,11621,761
BR,12,7778,220
BR,13,17473,1343
BR,14,25123,2359
BR,8,2209,1593
CH,18,23717,10676
CH,19,26558,950
CH,20,27027,232
CH,21,38028,244
CH,22,22874,633
CH,31,46970,26120
CH,27,48697,22202
CH,25,39330,13394
CH,26,33578,20091
CH,28,38004,30968
CH,29,45069,26949
CH,30,64627,23069
CH,17,23846,13379
CH,24,44405,4400
CH,16,25605,12890
CH,23,47250,1427
CH,14,20990,7256
CH,1,120,0
CH,2,670,0
CH,3,1416,0
CH,15,20260,11207
CH,5,2851,117
CH,6,3670,629
CH,4,1652,0
CH,8,10599,1513
CH,9,10773,2549
CH,10,9532,3134
CH,11,7357,2411
CH,12,19340,2062
CH,13,22216,4955
CH,7,6548,894
CT,18,1612,6067
CT,19,944,173
CT,20,1405,120
CT,21,1510,431
CT,22,1014,1106
CT,24,43284,11383
CT,31,8926,5469
CT,26,26800,17503
CT,27,16893,6587
CT,28,12726,6314
CT,29,16908,8297
CT,30,16480,7286
CT,17,1476,4310
CT,25,20812,4503
CT,16,4668,5507
CT,23,1853,1931
CT,14,22873,989
CT,1,11,0
CT,2,375,0
CT,3,2021,0
CT,4,3079,0
CT,15,14487,3582
CT,6,2086,1076
CT,5,3063,45
CT,8,5436,2641
CT,9,8880,2064
CT,10,16273,2107
CT,11,11607,539
CT,12,29989,1590
CT,13,42728,1548
CT,7,249,1373
DL,13,493931,75593
DL,12,532730,38432
DL,11,99515,51811
DL,10,80893,70747
DL,9,71391,52494
