State_Code,Literacy_Group,Total - Persons,Total - Males,Total - Females
00,Illiterate,447216165,188506636,258709529
00,Literate,763638812,434763622,328875190
00,Literate but below primary,146897597,78445099,68452498
00,Primary but below middle,184170833,99311072,84859761
00,Middle but below matric/secondary,133903266,77629578,56273688
00,Matric/Secondary but below graduate,192193344,116331881,75861463
00,Graduate and above,68288971,42120460,26168511
01,Illiterate,5474069,2375991,3098078
01,Literate,7067233,4264671,2802562
01,Literate but below primary,987774,541130,446644
01,Primary but below middle,1285909,719512,566397
01,Middle but below matric/secondary,1666381,1015129,651252
01,Matric/Secondary but below graduate,2244013,1443868,800145
01,Graduate and above,653764,401279,252485
02,Illiterate,1824866,729283,1095583
02,Literate,5039736,2752590,2287146
02,Literate but below primary,611475,326058,285417
02,Primary but below middle,1162995,576764,586231
02,Middle but below matric/secondary,826611,452919,373692
02,Matric/Secondary but below graduate,1852386,1076380,776006
02,Graduate and above,446609,251164,195445
03,Illiterate,9036201,4203409,4832792
03,Literate,18707137,10436056,8271081
03,Literate but below primary,2227684,1273936,953748
03,Primary but below middle,4288200,2273540,2014660
03,Middle but below matric/secondary,3066305,1747063,1319242
03,Matric/Secondary but below graduate,6755536,3945160,2810376
03,Graduate and above,1760846,873776,887070
04,Illiterate,250012,115317,134695
04,Literate,805438,465346,340092
04,Literate but below primary,90869,51211,39658
04,Primary but below middle,130243,73645,56598
04,Middle but below matric/secondary,111879,67964,43915
04,Matric/Secondary but below graduate,265112,161391,103721
04,Graduate and above,194453,104748,89705
05,Illiterate,3205339,1274065,1931274
05,Literate,6880953,3863708,3017245
05,Literate but below primary,1034583,554430,480153
05,Primary but below middle,1550574,803056,747518
05,Middle but below matric/secondary,1406871,806770,600101
05,Matric/Secondary but below graduate,1815486,1105814,709672
05,Graduate and above,910288,512068,398220
06,Illiterate,8752474,3700667,5051807
06,Literate,16598988,9794067,6804921
06,Literate but below primary,2473145,1403012,1070133
06,Primary but below middle,3772022,2075334,1696688
06,Middle but below matric/secondary,2705282,1557670,1147612
06,Matric/Secondary but below graduate,5343778,3426435,1917343
06,Graduate and above,1877085,1102809,774276
07,Illiterate,4050174,1792470,2257704
07,Literate,12737767,7194856,5542911
07,Literate but below primary,1458061,796975,661086
07,Primary but below middle,2230894,1197622,1033272
07,Middle but below matric/secondary,1931411,1099958,831453
07,Matric/Secondary but below graduate,3891873,2316711,1575162
07,Graduate and above,2757844,1535972,1221872
08,Illiterate,30273155,11862585,18410570
08,Literate,38275282,23688412,14586870
08,Literate but below primary,8083827,4423518,3660309
08,Primary but below middle,10524424,6143552,4380872
08,Middle but below matric/secondary,7319223,4788350,2530873
08,Matric/Secondary but below graduate,7298204,5056123,2242081
08,Graduate and above,3063282,2086247,977035
09,Illiterate,85414786,36245546,49169240
09,Literate,114397555,68234964,46162591
09,Literate but below primary,21424480,11763367,9661113
09,Primary but below middle,27798792,15505178,12293614
09,Middle but below matric/secondary,23122728,14276668,8846060
09,Matric/Secondary but below graduate,26270147,16809553,9460594
09,Graduate and above,9919838,6378138,3541700
10,Illiterate,51594899,22670134,28924765
10,Literate,52504553,31608023,20896530
10,Literate but below primary,13701980,7308358,6393622
10,Primary but below middle,13154969,7625383,5529586
10,Middle but below matric/secondary,7969599,4930890,3038709
10,Matric/Secondary but below graduate,11234040,7458931,3775109
10,Graduate and above,3061676,2326092,735584
11,Illiterate,165625,71801,93824
11,Literate,444952,251269,193683
11,Literate but below primary,116100,66658,49442
11,Primary but below middle,115601,62664,52937
