State_Code,Age_Group,Total - Persons,Total - Males,Total - Females
00,5-9,126928126,66300466,60627660
00,10-14,132709212,69418835,63290377
00,15-19,120526449,63982396,56544053
00,20-24,111424222,57584693,53839529
00,25-29,101413965,51344208,50069757
00,30-49,308492074,157263555,151228519
00,50-69,152333999,76945353,75388646
00,70+,39730350,19425797,20304553
00,Age not stated,4489802,2372881,2116921
01,5-9,1411973,746818,665155
01,10-14,1413853,744855,668998
01,15-19,1237462,640362,597100
01,20-24,1160913,603578,557335
01,25-29,1086122,584559,501563
01,30-49,3069723,1636310,1433413
01,50-69,1335288,704522,630766
01,70+,395965,206410,189555
01,Age not stated,15119,9747,5372
02,5-9,591177,311457,279720
02,10-14,639224,338240,300984
02,15-19,640461,336729,303732
02,20-24,643866,323720,320146
02,25-29,589160,290125,299035
02,30-49,1905011,949394,955617
02,50-69,987526,494820,492706
02,70+,313030,147024,166006
02,Age not stated,10163,5353,4810
03,5-9,2368019,1301682,1066337
03,10-14,2583402,1445530,1137872
03,15-19,2817683,1570180,1247503
03,20-24,2776636,1465531,1311105
03,25-29,2463861,1270405,1193456
03,30-49,7481850,3820738,3661112
03,50-69,3927197,2004798,1922399
03,70+,1149639,588373,561266
03,Age not stated,41522,22272,19250
04,5-9,91194,49255,41939
04,10-14,93464,52140,41324
04,15-19,104418,60521,43897
04,20-24,121244,68467,52777
04,25-29,110237,60694,49543
04,30-49,303748,165352,138396
04,50-69,123507,67633,55874
04,70+,25438,13053,12385
04,Age not stated,346,201,145
05,5-9,1058801,560179,498622
05,10-14,1145343,603274,542069
05,15-19,1124110,588483,535627
05,20-24,970068,484614,485454
05,25-29,810184,397363,412821
05,30-49,2419886,1209774,1210112
05,50-69,1263434,625521,637913
05,70+,352994,170265,182729
05,Age not stated,16608,9312,7296
06,5-9,2498757,1371825,1126932
06,10-14,2668678,1474136,1194542
06,15-19,2677390,1487548,1189842
06,20-24,2567486,1372799,1194687
06,25-29,2231959,1178340,1053619
06,30-49,6403218,3335891,3067327
06,50-69,3064954,1554125,1510829
06,70+,844967,419393,425574
06,Age not stated,31534,16888,14646
07,5-9,1535972,829487,706485
07,10-14,1648147,895446,752701
07,15-19,1667375,925118,742257
07,20-24,1764060,951411,812649
07,25-29,1668326,878196,790130
07,30-49,4762353,2541995,2220358
07,50-69,1940832,1022908,917924
07,70+,402974,199254,203720
07,Age not stated,16702,9175,7527
08,5-9,8042738,4258873,3783865
08,10-14,8380518,4430696,3949822
08,15-19,7314017,3889874,3424143
08,20-24,6426494,3377483,3049011
08,25-29,5348497,2763059,2585438
08,30-49,15938006,8121787,7816219
08,50-69,7444772,3754368,3690404
08,70+,2081623,958768,1122855
08,Age not stated,269602,137515,132087
09,5-9,25061717,13250331,11811386
09,10-14,25869881,13679154,12190727
09,15-19,23040380,12307573,10732807
09,20-24,17578648,9405485,8173163
09,25-29,14579829,7466367,7113462
09,30-49,44192083,22609942,21582141
09,50-69,21596329,11125361,10470968
09,70+,5894744,3109890,2784854
09,Age not stated,1622062,865933,756129
10,5-9,15036277,7796359,7239918
10,10-14,13919882,7323831,6596051
10,15-19,9472695,5290581,4182114
10,20-24,8064735,4210585,3854150
10,25-29,7671705,3828687,3843018
10,30-49,22949064,11785560,11163504
10,50-69,11207205,5802424,5404781
10,70+,2609358,1442950,1166408
10,Age not stated,403502,220309,183193
11,5-9,56678,28688,27990
11,10-14,66923,33965,32958
11,15-19,66937,33998,32939
11,20-24,67297,35146,32151
11,25-29,64639,34700,29939
11,30-49,161866,88242,73624
11,50-69,66006,36571,29435
11,70+,16719,9438,7281
11,Age not stated,1176,637,539
12,5-9,171123,86699,84424
12,10-14,179359,90439,88920
12,15-19,155968,78673,77295
12,20-24,131696,66033,65663
12,25-29,123714,63366,60348
12,30-49,337844,178707,159137
12,50-69,116414,64617,51797
12,70+,23221,12055,11166
12,Age not stated,1509,859,650
13,5-9,233099,120647,112452
13,10-14,248671,129237,119434
13,15-19,229622,117994,111628
13,20-24,204363,103769,100594
13,25-29,176901,89598,87303
13,30-49,475130,246610,228520
13,50-69,170019,92359,77660
13,70+,41964,22295,19669
13,Age not stated,1471,849,622
14,5-9,291243,149766,141477
14,10-14,313763,161146,152617
14,15-19,287008,144495,142513
14,20-24,281782,139587,142195
14,25-29,270477,132888,137589
14,30-49,737266,367510,369756
14,50-69,328321,165792,162529
14,70+,81475,40010,41465
14,Age not stated,7777,4232,3545
15,5-9,117788,59888,57900
15,10-14,116981,59526,57455
15,15-19,110343,55907,54436
15,20-24,111708,55512,56196
15,25-29,102346,51390,50956
15,30-49,272113,138156,133957
15,50-69,116083,59166,56917
15,70+,27978,13874,14104
15,Age not stated,633,379,254
16,5-9,337735,172541,165194
16,10-14,357690,183001,174689
16,15-19,357829,181136,176693
16,20-24,373177,183779,189398
16,25-29,344149,175059,169090
16,30-49,1010551,523092,487459
16,50-69,446669,233131,213538
16,70+,121935,57265,64670
16,Age not stated,1616,867,749
17,5-9,389182,197585,191597
17,10-14,382606,193473,189133
17,15-19,326188,164716,161472
17,20-24,285012,139140,145872
17,25-29,251281,124676,126605
17,30-49,632928,319526,313402
17,50-69,235334,119505,115829
17,70+,52420,24036,28384
17,Age not stated,5784,3329,2455
18,5-9,3544339,1806346,1737993
18,10-14,3491727,1789381,1702346
18,15-19,3068581,1595489,1473092
18,20-24,2909405,1415580,1493825
18,25-29,2815147,1393042,1422105
18,30-49,8016988,4139470,3877518
18,50-69,3328528,1749038,1579490
18,70+,799204,406281,392923
18,Age not stated,18824,9894,8930
19,5-9,8247809,4216763,4031046
19,10-14,9156523,4677506,4479017
19,15-19,9058031,4702325,4355706
19,20-24,8758322,4422630,4335692
19,25-29,7997909,4044904,3953005
19,30-49,25343015,13021836,12321179
19,50-69,12254977,6461816,5793161
19,70+,3013935,1453633,1560302
19,Age not stated,112451,63752,48699
20,5-9,4138425,2117879,2020546
20,10-14,4104396,2112627,1991769
20,15-19,3205268,1714887,1490381
20,20-24,2827622,1431263,1396359
20,25-29,2652639,1342314,1310325
20,30-49,7766660,3987928,3778732
20,50-69,3764294,1900703,1863591
20,70+,763799,389328,374471
20,Age not stated,116734,62252,54482
21,5-9,4074768,2085339,1989429
21,10-14,4348625,2203535,2145090
21,15-19,3925398,1972684,1952714
21,20-24,3783527,1870939,1912588
21,25-29,3574037,1772876,1801161
21,30-49,11179683,5671204,5508479
21,50-69,5785118,2927299,2857819
21,70+,1530862,768786,762076
21,Age not stated,119171,61347,57824
22,5-9,2758758,1404079,1354679
22,10-14,2884013,1461185,1422828
22,15-19,2599842,1319451,1280391
22,20-24,2389497,1193378,1196119
22,25-29,2057300,1049238,1008062
22,30-49,6505399,3278664,3226735
22,50-69,3059852,1492956,1566896
22,70+,726357,334867,391490
22,Age not stated,23115,12107,11008
23,5-9,8266455,4309693,3956762
23,10-14,8564501,4439329,4125172
23,15-19,7446789,3980072,3466717
23,20-24,6727579,3554088,3173491
23,25-29,5787506,2988325,2799181
23,30-49,17814066,9176855,8637211
23,50-69,8166920,4146233,4020687
23,70+,2298845,1100088,1198757
23,Age not stated,82862,43376,39486
24,5-9,5835836,3126401,2709435
24,10-14,6149445,3283834,2865611
24,15-19,5865760,3146110,2719650
24,20-24,5780722,3046127,2734595
24,25-29,5278822,2767283,2511539
24,30-49,16291242,8431107,7860135
24,50-69,7649954,3848622,3801332
24,70+,1888735,844340,1044395
24,Age not stated,238844,125546,113298
25,5-9,18506,9828,8678
25,10-14,17321,9300,8021
25,15-19,26314,18239,8075
25,20-24,38584,27925,10659
25,25-29,33181,22044,11137
25,30-49,66800,41602,25198
25,50-69,18727,9381,9346
25,70+,4300,1714,2586
25,Age not stated,356,248,108
26,5-9,36249,19059,17190
26,10-14,35003,18385,16618
26,15-19,33104,19979,13125
26,20-24,44301,27595,16706
26,25-29,39885,23496,16389
26,30-49,87888,51044,36844
26,50-69,26001,13290,12711
26,70+,4345,1810,2535
26,Age not stated,372,200,172
27,5-9,9820654,5178177,4642477
27,10-14,10734535,5662261,5072274
27,15-19,10627267,5710400,4916867
27,20-24,11090966,5845114,5245852
27,25-29,10147113,5272560,4874553
27,30-49,30272010,15606774,14665236
27,50-69,15525963,7711997,7813966
27,70+,4386103,2096832,2289271
27,Age not stated,407696,219312,188384
28,5-9,7304432,3760398,3544034
28,10-14,8201595,4208884,3992711
28,15-19,8093747,4196307,3897440
28,20-24,8132094,4055697,4076397
28,25-29,7799036,3809887,3989149
28,30-49,23148452,11667950,11480502
28,50-69,11934675,5733246,6201429
28,70+,2910550,1386204,1524346
28,Age not stated,771431,387686,383745
29,5-9,5241509,2696670,2544839
29,10-14,5736646,2955287,2781359
29,15-19,5827277,3042048,2785229
29,20-24,6052558,3109586,2942972
29,25-29,5771606,2879254,2892352
29,30-49,16740325,8491283,8249042
29,50-69,8421945,4156340,4265605
29,70+,2210861,1028755,1182106
29,Age not stated,45851,25410,20441
30,5-9,105968,54672,51296
30,10-14,110989,57417,53572
30,15-19,113875,60075,53800
30,20-24,130745,70616,60129
30,25-29,132626,67744,64882
30,30-49,455405,230383,225022
30,50-69,244268,118908,125360
30,70+,61372,26210,35162
30,Age not stated,2094,1098,996
31,5-9,5407,2760,2647
31,10-14,5998,2854,3144
31,15-19,5624,2808,2816
31,20-24,5829,3071,2758
31,25-29,5967,3135,2832
31,30-49,19244,9961,9283
31,50-69,9414,4937,4477
31,70+,1823,875,948
31,Age not stated,115,74,41
32,5-9,2555112,1303190,1251922
32,10-14,2822770,1438917,1383853
32,15-19,2610552,1328299,1282253
32,20-24,2665809,1298826,1366983
32,25-29,2604092,1203978,1400114
32,30-49,9796202,4513058,5283144
32,50-69,6087358,2937086,3150272
32,70+,1776588,739227,1037361
32,Age not stated,34486,17297,17189
33,5-9,5551255,2851293,2699962
33,10-14,6177547,3188990,2988557
33,15-19,6253792,3229838,3023954
33,20-24,6411543,3154804,3256739
33,25-29,6663746,3237374,3426372
33,30-49,21429281,10648715,10780566
33,50-69,11455580,5690938,5764642
33,70+,2858780,1386775,1472005
33,Age not stated,66805,34670,32135
34,5-9,98717,50327,48390
34,10-14,105726,53936,51790
34,15-19,102316,52231,50085
34,20-24,108819,51287,57532
34,25-29,118244,55052,63192
34,30-49,387613,192523,195090
34,50-69,182843,88125,94718
34,70+,48625,20767,27858
34,Age not stated,1101,560,541
35,5-9,30454,15512,14942
35,10-14,33467,17118,16349
35,15-19,33026,17266,15760
35,20-24,37115,19528,17587
35,25-29,41722,22230,19492
35,30-49,119161,64612,54549
35,50-69,47692,26817,20875
35,70+,8822,4952,3870
35,Age not stated,368,195,173
