State,Level,Name,TRU,TOT_P,TOT_M,TOT_F
00,India,India,Total,1210854977,623270258,587584719
00,India,India,Rural,833748852,427781058,405967794
00,India,India,Urban,377106125,195489200,181616925
01,STATE,JAMMU & KASHMIR,Total,12541302,6640662,5900640
01,STATE,JAMMU & KASHMIR,Rural,9108060,4774477,4333583
01,STATE,JAMMU & KASHMIR,Urban,3433242,1866185,1567057
01,DISTRICT,Kupwara,Total,870354,474190,396164
01,DISTRICT,Kupwara,Rural,765625,412038,353587
01,DISTRICT,Kupwara,Urban,104729,62152,42577
01,DISTRICT,Badgam,Total,753745,398041,355704
01,DISTRICT,Badgam,Rural,655833,343385,312448
01,DISTRICT,Badgam,Urban,97912,54656,43256
01,DISTRICT,Leh(Ladakh),Total,133487,78971,54516
01,DISTRICT,Leh(Ladakh),Rural,87816,48411,39405
01,DISTRICT,Leh(Ladakh),Urban,45671,30560,15111
01,DISTRICT,Kargil,Total,140802,77785,63017
01,DISTRICT,Kargil,Rural,124464,67703,56761
01,DISTRICT,Kargil,Urban,16338,10082,6256
01,DISTRICT,Punch,Total,476835,251899,224936
01,DISTRICT,Punch,Rural,438205,229774,208431
01,DISTRICT,Punch,Urban,38630,22125,16505
01,DISTRICT,Rajouri,Total,642415,345351,297064
01,DISTRICT,Rajouri,Rural,590101,310748,279353
01,DISTRICT,Rajouri,Urban,52314,34603,17711
01,DISTRICT,Kathua,Total,616435,326109,290326
01,DISTRICT,Kathua,Rural,526722,278126,248596
01,DISTRICT,Kathua,Urban,89713,47983,41730
01,DISTRICT,Baramula,Total,1008039,534733,473306
01,DISTRICT,Baramula,Rural,825539,432399,393140
01,DISTRICT,Baramula,Urban,182500,102334,80166
01,DISTRICT,Bandipore,Total,392232,207680,184552
01,DISTRICT,Bandipore,Rural,326871,172263,154608
01,DISTRICT,Bandipore,Urban,65361,35417,29944
01,DISTRICT,Srinagar,Total,1236829,651124,585705
01,DISTRICT,Srinagar,Rural,17313,8916,8397
01,DISTRICT,Srinagar,Urban,1219516,642208,577308
01,DISTRICT,Ganderbal,Total,297446,158720,138726
01,DISTRICT,Ganderbal,Rural,250407,133715,116692
01,DISTRICT,Ganderbal,Urban,47039,25005,22034
01,DISTRICT,Pulwama,Total,560440,293064,267376
01,DISTRICT,Pulwama,Rural,479978,248096,231882
01,DISTRICT,Pulwama,Urban,80462,44968,35494
01,DISTRICT,Shupiyan,Total,266215,136480,129735
01,DISTRICT,Shupiyan,Rural,249855,127161,122694
01,DISTRICT,Shupiyan,Urban,16360,9319,7041
01,DISTRICT,Anantnag,Total,1078692,559767,518925
01,DISTRICT,Anantnag,Rural,795805,411012,384793
01,DISTRICT,Anantnag,Urban,282887,148755,134132
01,DISTRICT,Kulgam,Total,424483,217620,206863
01,DISTRICT,Kulgam,Rural,343870,175574,168296
01,DISTRICT,Kulgam,Urban,80613,42046,38567
01,DISTRICT,Doda,Total,409936,213641,196295
01,DISTRICT,Doda,Rural,377247,195430,181817
01,DISTRICT,Doda,Urban,32689,18211,14478
01,DISTRICT,Ramban,Total,283713,149132,134581
01,DISTRICT,Ramban,Rural,271902,142317,129585
01,DISTRICT,Ramban,Urban,11811,6815,4996
01,DISTRICT,Kishtwar,Total,230696,120165,110531
01,DISTRICT,Kishtwar,Rural,215831,111986,103845
01,DISTRICT,Kishtwar,Urban,14865,8179,6686
01,DISTRICT,Udhampur,Total,554985,296784,258201
01,DISTRICT,Udhampur,Rural,446777,232974,213803
01,DISTRICT,Udhampur,Urban,108208,63810,44398
01,DISTRICT,Reasi,Total,314667,166461,148206
01,DISTRICT,Reasi,Rural,287671,151481,136190
01,DISTRICT,Reasi,Urban,26996,14980,12016
01,DISTRICT,Jammu,Total,1529958,813821,716137
01,DISTRICT,Jammu,Rural,764945,401603,363342
01,DISTRICT,Jammu,Urban,765013,412218,352795
01,DISTRICT,Samba,Total,318898,169124,149774
01,DISTRICT,Samba,Rural,265283,139365,125918
01,DISTRICT,Samba,Urban,53615,29759,23856
02,STATE,HIMACHAL PRADESH,Total,6864602,3481873,3382729
02,STATE,HIMACHAL PRADESH,Rural,6176050,3110345,3065705
02,STATE,HIMACHAL PRADESH,Urban,688552,371528,317024
02,DISTRICT,Chamba,Total,519080,261320,257760
02,DISTRICT,Chamba,Rural,482972,241963,241009
02,DISTRICT,Chamba,Urban,36108,19357,16751
02,DISTRICT,Kangra,Total,1510075,750591,759484
02,DISTRICT,Kangra,Rural,1423794,705365,718429
02,DISTRICT,Kangra,Urban,86281,45226,41055
02,DISTRICT,Lahul & Spiti,Total,31564,16588,14976
